5.210, ,739543,1
5.220, ,739553,1
5.220, ,739564,0
5.230, ,739574,0
5.230, ,739585,0
5.230, ,739595,0
5.240, ,739605,0
5.240, ,739616,0
5.250, ,739626,0
5.250, ,739637,1
5.260, ,739647,0
5.270, ,739657,0
5.280, ,739668,2
5.280, ,739678,0
5.290, ,739689,2
5.290, ,739699,0
5.290, ,739709,0
5.300, ,739720,0
5.320, ,739730,0
5.330, ,739741,0
5.340, ,739751,0
5.340, ,739761,0
5.340, ,739772,0
5.350, ,739782,1
5.360, ,739793,0
5.400, ,739803,0
5.400, ,739813,0
5.410, ,739824,0
5.430, ,739834,0
5.450, ,739845,2
5.460, ,739855,2
5.490, ,739865,1
5.500, ,739876,1
5.520, ,739886,0
5.530, ,739897,0
5.550, ,739907,0
5.570, ,739917,0
5.580, ,739928,0
5.590, ,739938,0
5.590, ,739949,0
5.600, ,739959,0
5.600, ,739969,0
5.600, ,739980,1
5.610, ,739990,0
5.620, ,740001,0
5.620, ,740011,1
5.630, ,740021,2
5.630, ,740032,0
5.640, ,740042,0
5.640, ,740052,0
5.660, ,740063,0
5.670, ,740073,0
5.670, ,740084,0
5.680, ,740094,0
5.690, ,740104,0
5.700, ,740115,2
5.710, ,740125,0
5.750, ,740136,0
5.750, ,740146,1
5.760, ,740156,0
5.760, ,740167,1
5.760, ,740177,0
5.770, ,740188,1
5.790, ,740198,0
5.800, ,740208,0
5.810, ,740219,0
5.810, ,740229,0
5.820, ,740240,0
5.830, ,740250,2
5.840, ,740260,0
5.860, ,740271,0
5.870, ,740281,0
5.870, ,740292,0
5.880, ,740302,0
5.880, ,740312,0
5.910, ,740323,0
5.950, ,740333,0
5.970, ,740344,0
6.020, ,740354,1
6.100, ,740364,1
6.170, ,740375,1
6.180, ,740385,0
6.200, ,740396,2
6.210, ,740406,0
6.210, ,740416,0
6.220, ,740427,0
6.230, ,740437,2
6.240, ,740448,0
6.240, ,740458,1
6.250, ,740468,2
6.260, ,740479,2
6.270, ,740489,1
6.280, ,740500,0
6.280, ,740510,0
6.290, ,740520,2
6.300, ,740531,1
6.300, ,740541,2
6.310, ,740551,0
6.320, ,740562,0
6.330, ,740572,0
6.340, ,740583,1
6.350, ,740593,1
6.360, ,740603,0
6.370, ,740614,1
6.380, ,740624,0
6.390, ,740635,2
6.400, ,740645,0
6.410, ,740655,1
6.410, ,740666,0
6.420, ,740676,0
6.430, ,740687,0
6.440, ,740697,0
6.450, ,740707,0
6.460, ,740718,0
6.470, ,740728,1
6.480, ,740739,2
6.490, ,740749,0
6.500, ,740759,0
6.510, ,740770,1
6.510, ,740780,0
6.540, ,740791,0
6.550, ,740801,0
6.560, ,740811,2
6.560, ,740822,0
6.570, ,740832,0
6.580, ,740843,0
6.590, ,740853,2
6.600, ,740863,0
6.610, ,740874,0
6.620, ,740884,0
6.620, ,740894,0
6.630, ,740905,0
6.640, ,740915,0
6.660, ,740926,0
6.670, ,740936,0
6.670, ,740946,0
6.680, ,740957,0
6.680, ,740967,0
6.690, ,740978,2
6.690, ,740988,0
6.700, ,740998,0
6.700, ,741009,1
6.710, ,741019,0
6.710, ,741030,0
6.720, ,741040,0
6.720, ,741050,0
6.750, ,741061,0
6.750, ,741071,0
6.760, ,741082,0
6.770, ,741092,0
6.780, ,741102,0
6.790, ,741113,0
6.800, ,741123,2
6.810, ,741134,0
6.820, ,741144,0
6.830, ,741154,0
6.830, ,741165,0
6.860, ,741175,1
6.870, ,741185,0
6.900, ,741196,0
6.910, ,741206,1
6.920, ,741217,0
6.930, ,741227,0
6.940, ,741237,1
7.040, ,741248,4
7.040, ,741258,0
7.060, ,741269,0
7.070, ,741279,1
7.080, ,741289,0
7.100, ,741300,1
7.110, ,741310,1
7.110, ,741321,0
7.120, ,741331,0
7.120, ,741341,0
7.130, ,741352,0
7.130, ,741362,1
7.140, ,741373,2
7.140, ,741383,1
7.150, ,741393,1
7.160, ,741404,0
7.160, ,741414,0
7.170, ,741425,0
7.170, ,741435,0
7.170, ,741445,0
7.180, ,741456,0
7.180, ,741466,2
7.190, ,741477,1
7.190, ,741487,0
7.190, ,741497,0
7.200, ,741508,0
7.200, ,741518,0
7.220, ,741528,0
7.230, ,741539,0
7.230, ,741549,0
7.240, ,741560,1
7.250, ,741570,0
7.250, ,741580,0
7.250, ,741591,1
7.260, ,741601,0
7.260, ,741612,0
7.270, ,741622,1
7.270, ,741632,1
7.280, ,741643,0
7.280, ,741653,1
7.290, ,741664,1
7.290, ,741674,0
7.300, ,741684,1
7.300, ,741695,1
7.310, ,741705,0
7.310, ,741716,1
7.330, ,741726,0
7.350, ,741736,0
7.360, ,741747,1
7.380, ,741757,0
7.400, ,741768,0
7.410, ,741778,0
7.430, ,741788,2
7.440, ,741799,0
7.450, ,741809,1
7.460, ,741820,0
7.470, ,741830,0
7.470, ,741840,0
7.480, ,741851,0
7.510, ,741861,1
7.520, ,741871,0
7.530, ,741882,0
7.530, ,741892,0
7.540, ,741903,0
7.550, ,741913,0
7.570, ,741923,0
7.580, ,741934,0
7.580, ,741944,0
7.590, ,741955,0
7.600, ,741965,1
7.600, ,741975,0
7.620, ,741986,0
7.640, ,741996,0
7.650, ,742007,0
7.660, ,742017,0
7.670, ,742027,0
7.670, ,742038,0
7.680, ,742048,0
7.690, ,742059,0
7.700, ,742069,0
7.730, ,742079,0
7.730, ,742090,2
7.740, ,742100,2
7.740, ,742111,0
7.750, ,742121,0
7.760, ,742131,1
7.760, ,742142,0
7.770, ,742152,0
7.770, ,742162,1
7.780, ,742173,2
7.780, ,742183,0
7.800, ,742194,1
7.840, ,742204,0
7.840, ,742214,0
7.840, ,742225,2
7.850, ,742235,0
7.850, ,742246,0
7.870, ,742256,0
7.900, ,742266,0
7.900, ,742277,0
7.910, ,742287,0
7.910, ,742298,3
7.920, ,742308,0
7.940, ,742318,0
7.960, ,742329,0
7.970, ,742339,0
7.970, ,742350,0
7.980, ,742360,0
7.990, ,742370,1
7.990, ,742381,0
8.000, ,742391,1
8.050, ,742402,1
8.060, ,742412,0
8.070, ,742422,0
8.080, ,742433,0
8.090, ,742443,0
8.110, ,742454,0
8.120, ,742464,0
8.120, ,742474,1
8.130, ,742485,1
8.130, ,742495,1
8.130, ,742505,0
8.140, ,742516,0
8.150, ,742526,0
8.160, ,742537,2
8.170, ,742547,0
8.170, ,742557,0
8.170, ,742568,0
